lag,trial,s,sm,smh
10,1,0.983443709,0.969621071,0.983443709
30,1,0.942748092,0.910673827,0.879770992
50,1,0.88963964,0.862005761,0.921171171
70,1,0.865384615,0.815222333,0.906593407
90,1,0.827464789,0.785849862,0.883802817
10,2,0.979367263,0.967862893,0.974896836
30,2,0.936350778,0.909443612,0.94165488
50,2,0.898107715,0.85527525,0.909024745
70,2,0.857571214,0.805896747,0.868815592
90,2,0.829598145,0.762900311,0.843508501
10,3,0.966216216,0.96192756,0.958976834
30,3,0.896084337,0.911709957,0.908634538
50,3,0.828974895,0.860437331,0.842050209
70,3,0.773471616,0.809830668,0.787117904
90,3,0.717465753,0.766740413,0.732305936
10,4,0.908464567,0.961772047,0.942913386
30,4,0.853483607,0.912651384,0.884221311
50,4,0.814102564,0.860945946,0.837606838
70,4,0.772321429,0.810573308,0.808035714
90,4,0.736565421,0.766625737,0.775116822
10,5,0.913338658,0.961267014,0.974041534
30,5,0.877475248,0.910286663,0.931930693
50,5,0.839163823,0.85779002,0.887372014
70,5,0.798144876,0.806785782,0.839222615
90,5,0.754120879,0.763565891,0.787087912
10,6,0.957290133,0.961389147,0.974594993
30,6,0.925644917,0.910747212,0.931714719
50,6,0.892018779,0.857878122,0.882629108
70,6,0.856219709,0.807097144,0.830371567
90,6,0.812186978,0.763887501,0.780467446
10,7,0.960784314,0.963019638,0.945424837
30,7,0.88590604,0.91267805,0.894630872
50,7,0.806896552,0.861731071,0.83
70,7,0.729078014,0.813107965,0.75212766
90,7,0.651824818,0.772372266,0.669343066
10,8,0.926744186,0.961253926,0.95755814
30,8,0.923170732,0.909928682,0.943292683
50,8,0.919230769,0.856995885,0.927564103
70,8,0.910135135,0.805350812,0.910135135
90,8,0.890714286,0.76096705,0.890714286
10,9,0.919055649,0.963426896,0.875210793
30,9,0.837696335,0.913856209,0.848167539
50,9,0.759493671,0.863231956,0.848553345
70,9,0.698405253,0.813050687,0.812382739
90,9,0.659356725,0.76914314,0.760721248
10,10,0.933375635,0.96250206,0.916878173
30,10,0.862967914,0.913311633,0.876336898
50,10,0.797316384,0.862359551,0.824152542
70,10,0.723802395,0.812116422,0.771706587
90,10,0.65843949,0.76860307,0.725318471
10,11,0.973516949,0.962135036,0.966631356
30,11,0.917035398,0.911758365,0.909845133
50,11,0.855324074,0.859779095,0.847800926
70,11,0.787621359,0.809783627,0.77973301
90,11,0.713010204,0.767276821,0.704719388
10,12,0.963235294,0.962627174,0.924264706
30,12,0.8828125,0.912666269,0.86484375
50,12,0.791666667,0.861332978,0.804166667
70,12,0.709821429,0.811459104,0.74375
90,12,0.668269231,0.767757055,0.703846154
10,13,0.925732218,0.961929461,0.973849372
30,13,0.878820961,0.911432269,0.918122271
50,13,0.827625571,0.859433962,0.857305936
70,13,0.7715311,0.809442362,0.790669856
90,13,0.709798995,0.766968658,0.717336683
10,14,0.966437177,0.962375492,0.961273666
30,14,0.917112299,0.911661008,0.946078431
50,14,0.867837338,0.859118527,0.897874307
70,14,0.827255278,0.80798713,0.858445298
90,14,0.79241517,0.763258138,0.824850299
10,15,0.969230769,0.962324838,0.953846154
30,15,0.931147541,0.910691476,0.944262295
50,15,0.931578947,0.856952938,0.951754386
70,15,0.931132075,0.805067911,0.952830189
90,15,0.925510204,0.760662935,0.947959184
10,16,0.957061069,0.962741586,0.929866412
30,16,0.87202381,0.912898475,0.871527778
50,16,0.794421488,0.861669975,0.804235537
70,16,0.733297414,0.811394014,0.754310345
90,16,0.6875,0.767758756,0.731981982
10,17,0.96996997,0.962506323,0.947822823
30,17,0.907120743,0.912383792,0.909055728
50,17,0.840255591,0.860925791,0.859025559
70,17,0.768976898,0.811200153,0.790016502
90,17,0.713737201,0.767611255,0.745307167
10,18,0.966367713,0.962485516,0.968049327
30,18,0.894366197,0.912385992,0.899647887
50,18,0.816502463,0.861001613,0.822044335
70,18,0.759715026,0.81054943,0.765544041
90,18,0.713797814,0.766891232,0.719945355
10,19,0.964788732,0.962783642,0.958249497
30,19,0.895702306,0.912302307,0.904612159
50,19,0.825492341,0.860363604,0.840262582
70,19,0.759153318,0.810252558,0.774599542
90,19,0.70323741,0.767073889,0.71942446
10,20,0.981308411,0.963061786,0.977570093
30,20,0.945631068,0.910799445,0.950485437
50,20,0.923232323,0.856904181,0.928282828
70,20,0.898947368,0.805003298,0.904210526
90,20,0.872527473,0.76063725,0.878021978
10,21,0.889781022,0.961876214,0.970072993
30,21,0.856390977,0.910502504,0.939097744
50,21,0.820930233,0.857983155,0.896899225
70,21,0.7944,0.806628118,0.8568
90,21,0.77107438,0.762571229,0.819008264
10,22,0.96763754,0.962867338,0.949838188
30,22,0.907608696,0.9119869,0.906772575
50,22,0.849913495,0.859394904,0.860294118
70,22,0.799731183,0.808641975,0.810483871
90,22,0.74767658,0.765392254,0.758828996
10,23,0.960093897,0.96280175,0.96713615
30,23,0.922455574,0.910950214,0.92003231
50,23,0.886477462,0.857530313,0.883973289
70,23,0.848013817,0.806142354,0.850604491
90,23,0.826923077,0.761220022,0.830053667
10,24,0.924471299,0.96331065,0.948640483
30,24,0.881028939,0.912349834,0.874598071
50,24,0.884879725,0.858450829,0.878006873
70,24,0.919741697,0.806022927,0.893911439
90,24,0.928286853,0.761586367,0.886454183
